[
  "03:15    let's start with just",
  "30:16    securities lending side to hedge fund",
  "30:19    that's been owning all of these",
  "30:20    corporate bonds and again it wasn't even",
  "30:22    just junk bonds but actual you know back",
  "30:24    in 2007 and 2008 it wasn't just the",
  "30:27    subprime mortgage bonds that got the",
  "30:29    haircuts adjusted it was even the the",
  "30:32    most the best-quality prime mortgage",
  "30:34    bonds they got severe haircut",
  "30:36    adjustments - and the reason was because",
  "30:38    again to stress the point before the",
  "30:41    cash lenders don't care about the credit",
  "30:43    quality of the bonds they only care",
  "30:45    about the liquidity characteristics in",
  "30:47    2007 or 2008 look the market for",
  "30:50    mortgage bonds of all types just dried",
  "30:52    up and so you'd see even prime mortgage",
  "30:54    bonds go bid less uncertain on certain",
  "30:56    days and therefore if you're a cash",
  "30:58    lender and all you care about is the",
  "30:59    ability to sell the collateral tomorrow",
  "31:01    you don't want to you don't want to do",
  "31:03    that transaction you don't want to do",
  "31:04    the repo transaction because you're not",
  "31:06    even sure you can sell the thing",
  "31:07    tomorrow so not only do you have to have",
  "31:09    haircuts adjusted in some cases the",
  "31:12    collateral",
  "31:12    comes non-negotiable on any terms which",
  "31:15    which did happen in 2007-2008 and there",
  "31:18    are anecdotes that happen again last",
  "31:20    month in the corporate market where a",
  "31:21    lot of places went bid less but if",
  "31:24    you're in the position of the hedge fund",
  "31:25    where your repoing yourself and you're",
  "31:28    going through collateral you know",
  "31:29    securities lending and transformation",
  "31:30    all this weird wonderful stuff what do",
  "31:33    you do is it where is your recourse what",
  "31:36    do you do if you're getting a collateral",
  "31:37    call because the haircuts are being",
  "31:38    adjusted all over the place well you",
  "31:40    really don't have any you can try to buy",
  "31:42    some US Treasuries from the market or an",
  "31:45    in lieu of being able to secure more in",
  "31:48    additional collateral that you can post",
  "31:49    you're going to have to just start",
  "31:51    selling assets at whatever price you can",
  "31:54    so that's what we end up with that's",
  "31:57    what we saw a bulk back in 2007 and 2008",
  "31:59    as well as what happened over those few",
  "32:02    weeks and starting in late late February",
  "32:05    of 2020 and it got to the point where it",
  "32:09    was so bad liquidity wise and the cash",
  "32:11    lenders became so picky about their",
  "32:13    collateral there was even bifurcation in",
  "32:15    the Treasury market itself where the the",
  "32:18    the market itself which began to to",
  "32:21    choose and began to offer the most",
  "32:24    reasonable repo terms only to those who",
  "32:27    had on the run Treasury securities and",
  "32:29    the difference between on the running",
  "32:30    off the run on the runners OTR off the",
  "32:33    runners ofr on the runner are Treasury",
  "32:36    securities that are the most liquid",
  "32:37    there's a stuff that's just been",
  "32:38    auctioned off there's that's where the",
  "32:40    market really takes place in Treasury",
  "32:42    buying and selling",
  "32:43    where as off the runner things like",
  "32:44    notes and bonds of old vintages that",
  "32:46    don't really trade all that much and so",
  "32:48    it got so bad and in March of 2020 that",
  "32:52    the market began to break down even in",
  "32:55    even where people were trying to use US",
  "32:57    Treasuries it's as collateral usually in",
  "33:02    terms of trying to meet these collateral",
  "33:04    calls from this breakdown in the",
  "33:06    collateral side of the system and that's",
  "33:08    how bad it had gotten and so you know",
  "33:10    again if you're the hedge fund where you",
  "33:12    know you can't go into the repo market",
  "33:14    directly because the haircuts become too",
  "33:16    big you can't go to the securities",
  "33:18    lending because you're also going to get",
  "33:19    a big haircut so no by the way the",
  "33:21    collateral that's offered through the",
  "33:22    transformation channel some of that's",
  "33:25    not even going to be used",
  "33:26    in the repo market either so the point",
  "33:29    I'm trying to make here is that there",
  "33:30    are all of these potential failure",
  "33:32    points in terms of just how it works on",
  "33:34    the collateral side of things very",
  "33:37    interesting I can't keep up with a",
  "33:42    number of questions that are being asked",
  "33:44    Jeff I seems like we we need to like",
  "33:47    almost turn this into a miniseries but",
  "33:50    you are actually hitting many of them as",
  "33:52    you're going along and and I'll let you",
  "33:56    I think it's best to let you finish up",
  "33:58    in case in case you do answer a question",
  "34:02    with something that is that you're gonna",
  "34:04    cover anyway I hate the jump ahead so",
  "34:06    why don't we get through the rest of",
  "34:08    what you want it to cover and then we'll",
  "34:10    go through the questions all in one shot",
  "34:12    yeah that probably makes a lot of sense",
  "34:14    that way you couldn't just handle the",
  "34:15    questions and I'll try to be brief about",
  "34:17    the rest of the presentation here you",
  "34:19    know the slides that I'm showing you",
  "34:20    here",
  "34:22    my point is showing that this is that",
  "34:23    this this collateral transformation this",
  "34:26    rehypothecation repledge all the stuff",
  "34:28    is not strictly a domestic issue in fact",
  "34:30    this repo market in u.s. dollars this",
  "34:33    interbank wholesale funding mechanism",
  "34:35    actually is a global marketplace and",
  "34:37    most of it takes place outside the US",
  "34:39    u.s. boundary so you have this you have",
  "34:41    all these global financial participants",
  "34:43    whether they're global banks global",
  "34:45    governments local foreign overseas banks",
  "34:47    all of these people that are that are",
  "34:49    transacting in this this wholesale",
  "34:51    marketplace to fund these various",
  "34:53    positions and financial goals and",
  "34:55    financial aims and it expands all over",
  "34:57    the place and it creates not just you",
  "34:59    know havoc potential havoc in the",
  "35:01    domestic system but for what is really a",
  "35:04    global dollar system it's not just that",
  "35:06    you know the US dollar as a reserve",
  "35:07    currency is a global currency and",
  "35:10    therefore if repo is the primary",
  "35:12    mechanism for liquidity in that monetary",
  "35:14    system you would expect that the all of",
  "35:16    these things that take place in the",
  "35:18    domestic market actually take place",
  "35:19    outside of it and just to briefly go",
  "35:21    over this this this example here we have",
  "35:24    leave government of Argentina which",
  "35:26    Argentina needs US dollars because again",
  "35:28    the US dollars a global reserve currency",
  "35:30    but Argentina is not a great credit on",
  "35:32    the US dollar markets even in you know",
  "35:34    2016 and 2017 when the euro bond market",
  "35:37    was exploding for all sorts of",
  "35:40    what would really be junk sovereign debt",
  "35:42    denominated in u.s. dollars it was",
  "35:44    better to try to do this this repo",
  "35:46    collateral transformation and so what in",
  "35:48    this hypothetical example the governor",
  "35:50    of Argentina intends to raise US dollars",
  "35:53    so it goes to a local Argentinian bank",
  "35:55    and says we want you to raise US dollars",
  "35:57    on their behalf by floating a euro baht",
  "35:59    in the government the Argentinian Bank",
  "36:01    which I denote as Bank a will use those",
  "36:03    real euro bonds in the euro bond is",
  "36:06    simply an offshore US dollar denominated",
  "36:08    debt so the Argentine Bank a uses the",
  "36:12    euro bond as collateral to transform it",
  "36:15    with global dealer Bank B which is the",
  "36:17    same as the hedge fund examples we used",
  "36:18    before where the dealer Bank contacts",
  "36:20    with the insurance company to borrow US",
  "36:23    Treasuries so that argentine bank a can",
  "36:26    then have US Treasuries to pledge in the",
  "36:29    in the in the global US dollar repo",
  "36:31    market so from the perspective of the",
  "36:33    repo market all it sees is that there's",
  "36:35    US Treasuries being pledged when in fact",
  "36:36    there are these very risky argentine",
  "36:39    eurobonds that are below the surface or",
  "36:41    behind the scenes and the shadows that",
  "36:43    are infecting and multiplying the",
  "36:45    collateral part of the system globally",
  "36:47    so again my point here is you know again",
  "36:50    complicated esoteric and also worldwide",
  "36:55    so as these things broke down in march",
  "36:58    what we asau was a very clear collateral",
  "37:02    bottleneck it was in many ways very much",
  "37:06    like 2007 and 2008 as you pointed out",
  "37:09    more in the in terms of subprime",
  "37:10    mortgages being used as collateral as I",
  "37:12    wrote back at the time the pattern",
  "37:14    repeat it every morning these repo",
  "37:17    transactions are unwound and what",
  "37:19    happened was these cash borrowers were",
  "37:21    posting collateral found that they",
  "37:23    couldn't post their collateral on the",
  "37:25    same terms they did yesterday haircuts",
  "37:27    were being adjusted they were being hit",
  "37:29    with all these kinds of collateral calls",
  "37:31    and what that did was that that forced",
  "37:33    these these players who were trying to",
  "37:35    fund their positions in repo markets",
  "37:37    through indirect means they had to find",
  "37:39    some kind of alternate which again was",
  "37:41    usually Treasury bills because all of",
  "37:43    those are on the run therefore the most",
  "37:45    liquid trend most liquid collateral so",
  "37:47    every morning as the repo yesterday's",
  "37:49    repo transactions were on being unwound",
  "37:51    collateral calls were happening you'd",
  "37:53    see the markets",
  "37:54    hi everybody just pile into Treasury",
  "37:56    bills and those who are unable to secure",
  "37:59    Treasury bills they had to fire sale",
  "38:01    their assets and so that's what happened",
  "38:03    over was a six days this the six worst",
  "38:07    days in the US stock market or back in",
  "38:09    February March as I've shown you here",
  "38:11    you saw the same thing every day you've",
  "38:15    got everybody piling into Treasury bills",
  "38:17    which was the collateral call or the",
  "38:19    tell-tale sign and indirect sign the",
  "38:21    collateral call and liquidations across",
  "38:23    all of these markets including stocks",
  "38:25    the reason is because as people are",
  "38:28    trying to fund their positions in the",
  "38:30    repo market they're not just funding you",
  "38:32    know corporate bonds of US Treasuries as",
  "38:34    I was showing you in a very simple",
  "38:35    stylized example they're funding all",
  "38:37    sorts of risky positions and risky",
  "38:39    portfolios so as these collateral calls",
  "38:42    because the repo market starts to unwind",
  "38:44    in the collateral side of the repo",
  "38:45    market on lines they hit they turn eight",
  "38:48    they may force leverage players to begin",
  "38:50    liquidating anything and everything they",
  "38:53    can which is why there's such a direct",
  "38:55    link between what happened in t-bills",
  "38:56    therefore collateral and an asset fire",
  "38:59    sales across all sorts of risky markets",
  "39:01    including stocks and it even got to be a",
  "39:05    point you were so bad as I as I pointed",
  "39:07    out before where the Treasury market",
  "39:09    itself became bifurcated as to what was",
  "39:11    acceptable collateral that even the",
  "39:13    people in the Federal Reserve the",
  "39:15    Federal Open Market Committee minutes",
  "39:16    make mentions of how there was a problem",
  "39:19    in the Treasury market in terms of this",
  "39:21    distinction on the run and office Iran",
  "39:23    and if the Federal Reserve figures out",
  "39:25    that there's a problem in this distinct",
  "39:27    it with this distinction you know it",
  "39:29    must have been bad because they're",
  "39:30    always the last people to figure this",
  "39:32    stuff out hmm Wow so what we're getting",
  "39:35    at here is a very complicated esoteric",
  "39:38    system that very few people know about",
  "39:40    very few people take much take much",
  "39:43    pretty much attention to but it's a",
  "39:46    vital and crucial part of way the global",
  "39:49    financial again Global global US dollar",
  "39:51    financial system works and how",
  "39:53    everything is interconnected and runs",
  "39:55    through not just a cash light or repo",
  "39:57    but more importantly all of these things",
  "39:59    on the collateral side really really",
  "40:03    fascinating it opened up the whole a",
  "40:05    whole new thing I have this question",
  "40:08    you know convergent members all get this",
  "40:10    live live news feed and what I hear",
  "40:17    every morning is the announcer saying",
  "40:19    something like I'll tell you what he",
  "40:21    said this morning at 7:31 here in",
  "40:24    Chicago 831 Eastern says New York Fed",
  "40:28    accepts 23.5 of twenty three point five",
  "40:31    billion bids at overnight repo operation",
  "40:34    so that's one announcement that I hear",
  "40:37    constantly and some of that some of",
  "40:38    these numbers get pretty big like 80",
  "40:40    billion and so on and then shortly",
  "40:42    thereafter a guy comes back on he says",
  "40:45    New York Fed accepts all 11 point 1",
  "40:48    billion in overnight repo bids backed by",
  "40:51    Treasuries at a stop out rate of 0.1",
  "40:54    percent that sounds almost like a flight",
  "41:00    pattern codes or something",
  "41:03    you know can you can you describe what's",
  "41:06    happening here why I've noticed that",
  "41:09    whatever is being bid whatever amount",
  "41:14    dollar amounts being bid it seems to be",
  "41:17    100 percent accepted by the Fed",
  "41:21    currently what what is that all about",
  "41:23    well these repo operations aren't",
  "41:26    actually repo operations they're just",
  "41:28    called repo operations because the Fed",
  "41:30    is mimicking a repo transaction with the",
  "41:32    primary dealers so that's that's number",
  "41:34    one number two what it's doing is has",
  "41:36    nothing to do with what the Fed is doing",
  "41:38    has nothing to do with the collateral",
  "41:40    side of things which is why these repro",
  "41:42    operations ended up not doing what any",
  "41:44    good in fact during the worst parts of",
  "41:46    the crisis you saw zero bids for the",
  "41:47    feds repo operations because nobody had",
  "41:49    any collateral to post so what the Fed",
  "41:52    is trying to do is be what the Fed is",
  "41:53    you know the Fed is you have to",
  "41:55    understand way behind the monetary curve",
  "41:57    they have a 1950s view of the monetary",
  "41:59    system and so they're viewing you know",
  "42:02    the fire sale liquidations across all",
  "42:03    these markets as a cash shortage rather",
  "42:06    than a collateral shortage and so these",
  "42:08    repo operations intend to open up a",
  "42:12    conduit for primary dealers specifically",
  "42:15    to be able to bid for bank reserves",
  "42:18    which are a form of cash used in the",
  "42:20    system but if we don't really have a",
  "42:22    of cash and his hens we instead have a",
  "42:24    shortage of collateral what good are",
  "42:27    these repo operations in fact that's why",
  "42:29    no matter how much the Fed offered in",
  "42:32    repo operations it didn't really have",
  "42:34    much of an impact you still had all",
  "42:36    these fire sales across risky assets",
  "42:37    because it doesn't actually go toward",
  "42:40    the real problem which is on the",
  "42:41    collateral side rather than the cash",
  "42:43    side okay I want to run through the",
  "42:47    questions that are being asked here and",
  "42:49    if you feel like the answer to any one",
  "42:51    of these is is another hour-long",
  "42:54    discussion then we can we can just punt",
  "42:57    on that move on to the next because",
  "42:59    there's quiet there are quite a few here",
  "43:00    so I'm gonna go with the most recent",
  "43:02    first the first question I have Jeff",
  "43:08    says that a dollar shortage would hit",
  "43:10    the system in the first moment but for",
  "43:13    what we have seen in gold prices it",
  "43:15    seems that this had already passed what",
  "43:17    are his thoughts about it what are we",
  "43:22    talking about here the the dollar",
  "43:25    shortage and the collateral sure it's",
  "43:26    yeah I think there's also other things",
  "43:29    to consider including what our calendar",
  "43:32    bottlenecks which everybody knows about",
  "43:34    quarter and window dressing but there's",
  "43:36    particular quarter end periods where it",
  "43:38    gets worse than other periods and they",
  "43:40    happen to be the middle of March in the",
  "43:41    middle of September there's the reason",
  "43:43    why Bear Sterns fails in the middle of",
  "43:45    March 2008 Lehman Brothers and AIG",
  "43:47    failed in the middle of September 2008",
  "43:49    and what we should saw the you know",
  "43:52    global financial crisis number to hit in",
  "43:54    the middle of March 2020 and the reason",
  "43:57    is the dealers offer their least amount",
  "43:58    of liquidity in the least amount of",
  "44:00    balance sheet capacity to do these kind",
  "44:02    of things like collateral transformation",
  "44:03    and securities lending around those",
  "44:06    kinds of bottlenecks so what I think",
  "44:07    happened what I saw up until the middle",
  "44:10    of March was that created a heightened",
  "44:12    pressure and what was already a bad",
  "44:14    situation but once the system got past",
  "44:16    that collateral that that calendar",
  "44:18    seasonal low point things started to",
  "44:21    loosen up so that's why you've seen gold",
  "44:23    be able to skyrocket because gold is",
  "44:24    also a one of the things that leveraged",
  "44:28    participants in the repo market turned",
  "44:29    to is sort of a collateral of last",
  "44:31    resort and that depresses the price of",
  "44:34    gold as it's being used which is why",
  "44:36    our everyday you saw those fire sale",
  "44:38    liquidations gold would go down as TV",
  "44:41    bill prices went up and fire and assets",
  "44:43    were fire sales everywhere so I think",
  "44:45    we've gotten past the max point of",
  "44:46    maximum pressure which was in the middle",
  "44:48    of March okay",
  "44:52    can you help me understand the",
  "44:54    distinction between the global dollars",
  "44:55    Shores but there isn't an actual",
  "44:57    shortage and liquidity which is why the",
  "44:59    feds money printing is ineffective I",
  "45:01    mean there's a statement of opinion in",
  "45:03    that question if you disagree with that",
  "45:05    opinion you can just start with that",
  "45:07    no it's it's people think the Fed prints",
  "45:11    money when it doesn't this you know the",
  "45:14    the monetary system this whole say a way",
  "45:16    of doing things and in fact the fact",
  "45:18    that it goes throughout the rest of the",
  "45:20    globe the monetary system evolved",
  "45:23    without the Federal Reserve behind it",
  "45:24    the Federal Reserve is nothing more than",
  "45:25    a domestic bank Authority yet everybody",
  "45:27    thinks it's think of it as a central",
  "45:29    bank in fact that's what the Federal",
  "45:30    Reserve wants you to believe if you",
  "45:32    think the Fed is printing money that's",
  "45:34    what they want you to think because they",
  "45:35    think you'll then act in an inflationary",
  "45:36    manner but the Fed doesn't actually",
  "45:39    print money just like it doesn't",
  "45:40    actually do repo operations it has the",
  "45:43    thin veneer of money printing when all",
  "45:45    it does is create bank reserves which",
  "45:47    are modestly and that's probably being",
  "45:50    too charitable modestly useful for the",
  "45:52    banking system it's not actual money you",
  "45:54    can't walk into a grocery store with a",
  "45:55    bank reserve you can't possess a bank",
  "45:57    reserve so unless the banking system",
  "45:59    does something with those bank reserves",
  "46:01    it's not adding any liquidity to the",
  "46:03    system and if banks are the reason why",
  "46:05    we have a dollar shortage to begin with",
  "46:06    it doesn't matter how many bank reserves",
  "46:08    they possess the dollar shortage is the",
  "46:10    banks not the central bank and even if",
  "46:12    you did consider that to be money",
  "46:14    printing when you see the Fed expand its",
  "46:17    balance sheet or any central bank",
  "46:18    including the Bank of Japan or ECB or",
  "46:19    anybody when they're expanding their",
  "46:21    balance sheet it's because the monetary",
  "46:23    system itself is already in a massive",
  "46:26    deficit so even if we counted the feds",
  "46:28    bent a bank reserves and money printing",
  "46:29    as money printing they're already behind",
  "46:31    the curve because the deficit is already",
  "46:34    preceding that what the Fed is doing so",
  "46:36    even as the Fed expands its balance",
  "46:38    sheet it's only because of an existing",
  "46:40    deficit in the private system where the",
  "46:41    banks operate and I believe a large big",
  "46:44    part of that is the lack of collateral",
  "46:46    especially corporate corporate",
  "46:52    why don't we switch gears here for a",
  "46:54    little bit because there's just an",
  "46:56    overwhelming number of questions here I",
  "46:59    want to make sure we wrap up by asking",
  "47:02    you this question and that is given what",
  "47:06    has happened with Cove at 19 given the",
  "47:09    correction that has taken place where",
  "47:12    where do you feel we are in terms of",
  "47:15    equity prices the indices crude oil gold",
  "47:19    versus where we're headed I mean with",
  "47:21    the with the Fed having done what it's",
  "47:23    done",
  "47:23    offering up 2.2 trillion after the you",
  "47:27    know the the initial claims released",
  "47:30    last week to buy I think to buy",
  "47:32    commercial paper or something you know",
  "47:34    where are we headed here Jeff again yeah",
  "47:37    like I just said the more the Fed does",
  "47:39    the more you should be concerned because",
  "47:41    the Fed doesn't solve the problem it",
  "47:43    tells you how big it is so the more the",
  "47:45    Fed has to do the more you have to",
  "47:46    realize the that existing dollar",
  "47:48    shortage deficit must be massive so",
  "47:51    nothing really has changed other than",
  "47:53    that seasonal bar like I talked about we",
  "47:55    got past that but",
  "47:57    especially the collateral site of repo",
  "47:59    they remain and so there's a tremendous",
  "48:02    risk moving forward of a repeat or a",
  "48:05    second wave of what would be global",
  "48:07    financial crisis number two in fact",
  "48:09    that's what we saw in 2008 it wasn't",
  "48:12    actually one banking crisis or dollar",
  "48:14    shortage there were two of them and in",
  "48:16    between them there was a period of calm",
  "48:18    very much like today where everybody",
  "48:19    thought well the Fed printed a bunch of",
  "48:21    money and everything's fine and",
  "48:22    everything's fixed between the time Bear",
  "48:24    Stearns failed in the summer of 2008 it",
  "48:27    really did look like things were moving",
  "48:28    in the right direction at least at least",
  "48:30    on the surface or outwardly when in fact",
  "48:33    when he looked underneath the rot was",
  "48:35    getting more rotten everything was going",
  "48:37    in the wrong direction and was kind of",
  "48:39    in the same position today where again",
  "48:41    nothing has changed since March except",
  "48:43    for the seasonal pressure so we're I",
  "48:45    think in the same position where you",
  "48:48    know the stock market is much more",
  "48:50    enthusiastic about the prospects of it",
  "48:52    being over where as you look at the bond",
  "48:54    market you're at all the futures other",
  "48:56    kinds of markets out there you sure's",
  "48:58    curve for example WTI they're all saying",
  "49:01    that no the risk of a second wave coming",
  "49:04    are really really high that's pretty",
  "49:10    scary so um so you get a phone call from",
  "49:15    our president or whomever puts people as",
  "49:19    their chairman of the Fed you're gonna",
  "49:21    call call to say hey Jeff love did this",
  "49:24    talk to you did with convergent awesome",
  "49:27    awesome presentation you're running the",
  "49:30    show now we need you to unwind this",
  "49:32    whole thing and fix the problem what",
  "49:34    does Jeff do I hang up the phone no it's",
  "49:48    look it's we're just we're only",
  "49:50    scratching the surface here we aren't",
  "49:52    even talking about the you know there",
  "49:54    are other problems well we're just",
  "49:55    talking about repo and collateral we",
  "49:57    haven't even we have any hit derivatives",
  "49:58    and FX and you know all of those kinds",
  "50:00    of things the real issue here is Bank",
  "50:03    capacity because that's what really",
  "50:04    liquidity that's where liquidity comes",
  "50:06    from that's where total quote money",
  "50:07    comes from modern money is all about",
  "50:09    what banks",
  "50:10    offer and if banks start willing to",
  "50:12    offer liquidity in any form whether it's",
  "50:14    repo collateral transformation cash and",
  "50:16    repo FX swaps all these kinds of things",
  "50:19    then you're screwed there's really not",
  "50:21    much you can do the Federal Reserve is",
  "50:23    itself powerless so step number one is",
  "50:26    we don't even know the full extent of",
  "50:29    this global dollar system largely",
  "50:31    because it's been left to the shadows",
  "50:33    for 50 years",
  "50:35    nobody monetary scholarship ended really",
  "50:37    in the 1970s and 1980s and for 20 years",
  "50:40    everybody thought well Alan Greenspan",
  "50:42    boosts the federal funds rate around a",
  "50:43    quarter point here and there that must",
  "50:45    be everything there is to know about",
  "50:47    money when in fact Alan Greenspan",
  "50:49    admitted throughout the 1990s the reason",
  "50:51    they did that was because back in the",
  "50:53    70s they could no longer define money at",
  "50:55    all",
  "50:56    so therefore if your central bank how do",
  "50:59    you operate monetary policy where you",
  "51:00    can't even define money well they came",
  "51:03    up with what was essentially a magic",
  "51:05    trick or as I call it a puppet show they",
  "51:07    moved the federal funds rate around and",
  "51:09    said well well signal to banks what we",
  "51:11    think they should be doing and we'll let",
  "51:12    the bank's sort out the details inside",
  "51:14    the monetary system well that ain't",
  "51:16    gonna work I mean 2007-2008 we get a",
  "51:19    breakdown in the repo market and there's",
  "51:21    nothing to fight can do about it that's",
  "51:23    why every every monetary program that",
  "51:25    they came up with in that time period",
  "51:26    none of it worked we had a global",
  "51:27    financial crisis now by the way it's a",
  "51:30    global financial crisis this is a global",
  "51:32    dollar system not a domestic dollar",
  "51:34    system so to get back to your question",
  "51:35    you know the first thing we got to do is",
  "51:37    we kind of catch yourself back up to",
  "51:40    where the monetary system was ten years",
  "51:41    ago",
  "51:42    let alone start to figure out where we",
  "51:44    can go from here we need more",
  "51:45    information what I'm trying to say we",
  "51:46    need to we need an actual exhaustive",
  "51:49    sample and study of the way the system",
  "51:51    actually works to go into the",
  "51:52    nitty-gritty details which I didn't do",
  "51:55    in this presentation behind all of this",
  "51:57    collateral transformation stuff all of",
  "51:58    this weird and exotic derivatives that",
  "52:00    take place that count as money in the",
  "52:02    modern monetary system only then when we",
  "52:04    have a handle on how this thing really",
  "52:06    is and how big it is can we start to",
  "52:08    figure out where the failure points are",
  "52:10    where there really are and what to do",
  "52:12    about them all right well I guess we'll",
  "52:16    have to have you back on go for that",
  "52:19    whenever that starts happening",
  "52:22    I'll cut it off here unfortunately",
  "52:25    I mean this there's been just a massive",
  "52:29    interest in what you're talking about",
  "52:31    and we just can't cover it all we've",
  "52:34    actually received not only what looks",
  "52:37    like a hundred different questions here",
  "52:39    we received several emails with",
  "52:41    additional questions relating to fed",
  "52:44    repo activity and the timing of it",
  "52:47    versus the movement of stock prices and",
  "52:49    so on and we once we parse through these",
  "52:52    questions we may just do a quick wrap it",
  "52:55    fire with you or something to see if you",
  "52:57    can answer some of these",
  "52:58    in either case really appreciate having",
  "53:00    an air Jeff and I appreciate everybody's",
  "53:02    time to come in and listen to this this",
  "53:04    is a whole new world for me as I'm sure",
  "53:06    it is for many many people and you've",
  "53:09    helped shed some light I want to wrap up",
  "53:13    by letting everybody know what",
  "53:16    convergent is in case you're not",
  "53:17    familiar convergent is is really",
  "53:19    targeted at traders we're looking to",
  "53:21    make a career a career transition and",
  "53:25    want something that is focused to you",
  "53:28    you convergent provides access to head",
  "53:30    traders in its head trainer channel we",
  "53:34    provide live market commentary",
  "53:35    throughout the day a very quiet",
  "53:37    environment we do also provide a proto",
  "53:41    audio news feed included in the monthly",
  "53:43    subscription we do go through the key",
  "53:47    markets and and we we update our market",
  "53:50    stat sheets once a month we use these to",
  "53:53    look at the markets inclination",
  "53:55    historical inclination to do one thing",
  "53:57    over another so we can have a real",
  "53:59    statistical edge in trading and so on",
  "54:02    and so forth if you want more",
  "54:03    information please join us the",
  "54:05    convergent trading comm again you know",
  "54:07    you can find Jeff Jeff I don't know if",
  "54:11    you want people to hit you up or contact",
  "54:14    you you know Jeff can be found at el",
  "54:17    hombro partners comm and I believe Jeff",
  "54:20    your Twitter which I've tweeted a couple",
  "54:23    of times to today is Jeff Snyder",
  "54:27    underscore AE a IP that's on Twitter and",
  "54:33    I'm sure you don't want to receive",
  "54:35    a bunch of these questions and of course",
  "54:37    answer at your leisure or not but again",
  "54:40    you want to thank you for coming on Jeff",
  "54:43    and enlightening us today",
  "54:45    ah thanks for having me and you know I",
  "54:48    try to answer as many questions as I can",
  "54:51    I met on Twitter that much but you know",
  "54:52    maybe we can get together and put",
  "54:54    together even if you want to you know",
  "54:56    have some written questions or general",
  "54:58    themes about we're more more detail that",
  "55:00    we can try to provide as much",
  "55:01    information as we possibly can that's",
  "55:03    that's what I'm considering is to",
  "55:06    distill these into one question slides",
  "55:08    and we can just run through and have you",
  "55:11    give us snippets that may help people",
  "55:14    understand the system better I think the",
  "55:16    most the common thread among these",
  "55:19    questions is holy crap this this looks",
  "55:22    like it's an awful it's an awfully",
  "55:23    fragile system and what does that mean",
  "55:26    for my retirement my taxes and so on and",
  "55:28    so forth this is the the main concern",
  "55:31    knowing how big this this I want to call",
  "55:34    it hidden market is as you've described",
  "55:38    it today it's its shadow money that's",
  "55:42    that's why I call it shadow money",
  "55:44    because not only do people not know",
  "55:45    about it most of what takes place takes",
  "55:47    place outside of the outside of any kind",
  "55:50    of reporting outside of any data so it's",
  "55:53    truly shadow money and I'm not surprised",
  "55:54    people who are kind of shocked by what",
  "55:57    actually goes on absolutely thanks for",
  "56:00    coming on Jeff thank you all for",
  "56:02    attending yeah FP before you go just",
  "56:05    want to confirm that this will be made",
  "56:07    available to everybody on the",
  "56:09    convergence rating YouTube channel yes",
  "56:12    anybody that has registered even if you",
  "56:15    have not attended you will get a email",
  "56:19    we don't spam anyone you will get an",
  "56:22    email with the recording and you can",
  "56:24    listen to it it's really a",
  "56:27    coming on me thank you take care"
]
